School_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
ADMIRALTY PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,VISUAL ARTS
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CHINESE DANCE,VISUAL AND PERFORMING ARTS,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,DESIGN AND INNOVATION,CLUBS AND SOCIETIES,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,"ENGLISH LANGUAGE, DRAMA AND DEBATING",CLUBS AND SOCIETIES,ENGLISH LANGUAGE & DRAMA
ADMIRALTY PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,GIRL GUIDES (BROWNIES),UNIFORMED GROUPS,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,INDIAN DANCE,VISUAL AND PERFORMING ARTS,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,MALAY DANCE,VISUAL AND PERFORMING ARTS,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,MODULAR CCA (SPORTS),PHYSICAL SPORTS,SPORTS CLUB
ADMIRALTY PRIMARY SCHOOL,PRIMARY,ROPE SKIPPING,PHYSICAL SPORTS,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,TRACK AND FIELD,PHYSICAL SPORTS,
ADMIRALTY PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),ART AND CRAFTS,CLUBS AND SOCIETIES,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),DIGITAL MEDIA,CLUBS AND SOCIETIES,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),MEDIA RESOURCE LIBRARY,CLUBS AND SOCIETIES,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CIVIL DEFENCE CADET CORPS,UNIFORMED GROUPS,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,
