school_name,year,pathway,score_low,score_high,affiliation,hcl_low,hcl_high,source_url
Anderson Secondary School,2025,Posting Group 3,7,11,Non-affiliated,,,https://www.moe.gov.sg/schoolfinder/schooldetail/anderson-secondary-school
Anderson Secondary School,2025,Posting Group 2,21,23,Non-affiliated,,,https://www.moe.gov.sg/schoolfinder/schooldetail/anderson-secondary-school
Anderson Secondary School,2025,Posting Group 1,25,28,Non-affiliated,,,https://www.moe.gov.sg/schoolfinder/schooldetail/anderson-secondary-school
Jurong West Secondary School,2025,Posting Group 3,11,16,Non-affiliated,,,https://www.moe.gov.sg/schoolfinder/schooldetail/jurong-west-secondary-school
Jurong West Secondary School,2025,Posting Group 2,21,24,Non-affiliated,,,https://www.moe.gov.sg/schoolfinder/schooldetail/jurong-west-secondary-school
Jurong West Secondary School,2025,Posting Group 1,25,28,Non-affiliated,,,https://www.moe.gov.sg/schoolfinder/schooldetail/jurong-west-secondary-school
Juying Secondary School,2025,Posting Group 3,17,22,Non-affiliated,,,https://www.moe.gov.sg/schoolfinder/schooldetail/juying-secondary-school
Juying Secondary School,2025,Posting Group 2,21,25,Non-affiliated,,,https://www.moe.gov.sg/schoolfinder/schooldetail/juying-secondary-school
Juying Secondary School,2025,Posting Group 1,26,30,Non-affiliated,,,https://www.moe.gov.sg/schoolfinder/schooldetail/juying-secondary-school
River Valley High School (Secondary),2025,Integrated Programme,4,9,Non-affiliated,M,M,https://www.moe.gov.sg/schoolfinder/schooldetail/river-valley-high-school-secondary
Hwa Chong Institution (Secondary),2025,Integrated Programme,4,6,Non-affiliated,D,M,https://www.moe.gov.sg/schoolfinder/schooldetail/hwa-chong-institution-secondary
